pessoa_id,idade,salario_anual,situacao_moradia,tempo_de_trabalho,motivo_do_emprestimo,pontuacao,valor_emprestimo,taxa_de_juros,possibilidade_de_inadimplencia,renda_percentual,inadimplente,tempo_solicitacao
2RULvlka-c0Ej,21,12000,Rent,3,Education,B,1600,10.59,1,0.13,N,2
05AU2u3q-jNEJ,25,45000,Rent,0,Venture,C,10000,12.98,0,0.22,Y,2
1jJthPGt-vldX,22,75000,Rent,1,Venture,A,19200,NULL,0,0.26,N,2
0Fw9Bfp0-lEsG,22,95000,Mortgage,1,Venture,C,7200,12.23,0,0.08,Y,4
35c6YwNB-Zjf6,33,40000,Rent,15,Education,B,15000,9.88,1,0.38,N,9
3JqCJNXq-SG7x,23,40800,Own,NULL,Medical,A,21000,6.17,0,0.51,N,3
0AeYhoxq-8yCK,24,40944,Rent,0,Medical,B,8200,11.36,0,0.2,N,4
3lPgrHgI-LBHS,35,60000,Mortgage,0,Medical,B,12000,10.75,0,0.2,N,8
2XyUzvdj-TMZ3,28,108000,Mortgage,6,Personal,B,27400,10.99,0,0.25,N,8
20qzekPx-OU9z,25,115000,Mortgage,4,Venture,C,25000,12.53,0,0.22,Y,4
14IZUNkb-6IsY,34,67000,Rent,7,Education,B,20000,11.71,0,0.3,N,9
2vkNsUW1-UNa6,28,56052,Rent,8,Venture,C,7200,11.28,0,0.13,Y,8
2aK7ZGk2-Ok9J,21,50000,Rent,5,Education,A,4900,8.94,0,0.1,N,2
2QkHsuw5-YALa,34,37500,Mortgage,14,Medical,B,12000,NULL,0,0.32,N,7
2LnyRg4i-Yzow,47,93000,Rent,1,Personal,B,10000,NULL,0,0.11,N,16
0RMANZYs-Jjgc,29,99000,Mortgage,1,Personal,B,6000,10.25,0,0.06,N,6
0GqdKhZ3-tmHe,21,70000,Rent,5,Personal,,6000,NULL,1,0.18,N,4
1Wyow9dr-ytm4,26,125000,Rent,10,Medical,B,3000,12.21,0,0.02,N,4
14fEcnuZ-CddG,45,123000,Rent,2,Education,F,14000,NULL,1,0.11,N,17
2r2X7NGW-UnFe,27,65000,Rent,0,Personal,B,12000,NULL,0,0.18,N,5
0F1HCH6f-mG7I,32,44400,Mortgage,5,Homeimprovement,D,6500,14.84,0,0.15,Y,7
3IQGPCjX-OSxS,23,84996,Mortgage,5,Personal,A,14000,NULL,0,0.16,N,3
1c7sSZL6-xbj3,24,53295,Rent,3,Medical,D,19600,16.07,1,0.31,N,3
3KBNQFDk-Evy0,25,60000,Rent,5,Homeimprovement,B,14000,NULL,0,0.23,N,2
36FwvtfS-D4Xe,36,54000,Mortgage,5,Medical,A,5000,NULL,0,0.09,N,16
095kmLry-GPTX,22,64000,Rent,6,Education,A,7000,5.79,0,0.11,N,3
0POZyPIf-rqOB,25,80000,Mortgage,7,Homeimprovement,A,6000,7.9,0,0.07,N,3
3FUSfBXN-Qjlc,25,42000,Rent,4,Education,A,1925,6.17,0,0.05,N,4
0eErRc45-AUk2,24,29000,Mortgage,1,Medical,D,6000,15.62,1,0.21,N,3
21DtAjf2-MSGC,22,107004,Mortgage,2,Venture,A,10000,7.29,0,0.09,N,4
3GsfExGR-9pEI,21,34500,Rent,2,Homeimprovement,D,11500,15.31,1,0.33,N,2
01WXNice-DkYD,28,48000,Rent,0,Education,B,10000,10.08,0,0.21,N,6
337pZ5RC-prNH,22,27996,Mortgage,4,Medical,D,3250,15.21,1,0.12,N,2
1KJoDUpB-SPNK,25,36400,Rent,2,Personal,B,18200,9.91,1,0.5,N,4
0c3DUzPc-dDzm,23,24000,Rent,0,Homeimprovement,C,5000,14.27,1,0.21,Y,2
23oBzcg5-ZiMd,41,66000,Mortgage,20,Venture,A,10000,6.62,0,0.15,N,12
101Pgr6f-g4Zq,23,80004,Mortgage,2,Venture,B,19000,10.62,0,0.24,N,2
3BICOxs4-iZ40,22,50000,Mortgage,7,Education,B,4000,10.95,0,0.08,N,4
2U1ujpw6-g05s,26,107900,Mortgage,10,Medical,A,16500,8.94,0,0.15,N,3
0hKE8Jlk-q1KX,27,157500,Own,6,Medical,C,25000,12.87,0,0.16,Y,6
2Ig9vghv-WTxz,24,40000,Rent,3,Debtconsolidation,A,4000,5.42,0,0.1,N,2
2TKNDl79-zkkz,22,31200,Rent,5,Debtconsolidation,C,10000,12.73,1,0.32,Y,2
0fEPlFLC-6xJq,24,85000,Rent,1,Venture,A,10500,6.92,0,0.12,N,3
2deqBlvq-3Lts,22,57500,Rent,1,Debtconsolidation,B,9100,11.49,0,0.16,N,4
2ibAGgsQ-1xeo,22,63000,Mortgage,6,Medical,B,15000,NULL,0,0.24,N,3
2724922Q-sYee,32,86800,Mortgage,6,Homeimprovement,A,2800,7.88,0,0.03,N,9
1398gC4Q-LDCZ,23,30000,Rent,6,Venture,B,19750,11.14,1,0.66,N,4
0t8yu7jN-uOJ3,24,113000,Mortgage,5,Venture,B,10500,NULL,0,0.09,N,4
0kybXJWi-1Fnr,44,17112,Rent,NULL,Debtconsolidation,A,1200,7.66,0,0.07,N,14
1xWb1IoI-1fg8,24,60000,Mortgage,7,Venture,B,15850,11.11,0,0.26,N,3
1YAMr5qC-J7zb,24,200000,Mortgage,3,Venture,A,24000,7.49,0,0.12,N,4
1l3BA4c5-JcPk,25,27048,Other,9,Medical,D,8000,15.05,1,0.3,Y,2
1FBWC8aU-9bpC,23,69996,Mortgage,7,Venture,A,3000,6.39,0,0.04,N,4
1f43kaRS-8RGh,26,65000,Mortgage,0,Debtconsolidation,A,4000,5.42,0,0.06,N,3
26vxEAko-CouY,28,120000,Mortgage,0,Personal,B,20000,NULL,0,0.17,N,5
3bwOhpof-T5Py,27,50000,Mortgage,6,Personal,B,12000,11.71,0,0.24,N,10
2dhDh8eg-0LwX,42,44000,Rent,0,Debtconsolidation,A,4100,NULL,0,0.09,,3
0ubol1kD-einN,21,71688,Mortgage,2,Education,D,7500,13.17,0,0.1,Y,4
1wbqWFvM-OaZT,32,22000,Rent,9,Medical,E,10000,18.39,1,0.45,Y,6
0SasnNdX-AX9N,27,58000,Rent,3,Venture,B,13000,11.58,0,0.22,N,7
1PsWhaFL-4oyT,26,64700,Mortgage,5,Homeimprovement,C,17500,NULL,0,0.27,Y,2
0bWSLrM0-Ai6D,22,44000,Mortgage,4,Education,B,10000,12.69,0,0.23,N,2
2rrOzOZR-kMYL,24,72984,Mortgage,3,Personal,A,12000,NULL,0,0.16,N,4
1B62rJ21-P5pE,47,85000,Mortgage,5,Debtconsolidation,A,5500,6.76,0,0.06,N,12
2pGQUsw3-6id3,22,26400,Rent,1,Personal,D,10000,16.02,1,0.38,N,2
1rSQgRFA-dhmU,25,150000,Mortgage,9,Medical,C,20000,14.65,0,0.13,Y,4
1gHocgzS-D3rD,27,46000,Rent,11,Medical,B,8000,11.36,0,0.17,N,8
2W34c6Qu-8Uez,25,75000,Mortgage,8,Debtconsolidation,A,15000,9.63,0,0.2,N,3
2W1avow4-LD2c,27,79000,Mortgage,6,Venture,A,13000,NULL,0,0.16,N,8
35WUtFsb-ga5S,24,46000,Rent,0,Education,D,5975,14.46,1,0.13,Y,2
0l9QXx8k-gMbj,22,40000,Rent,2,Debtconsolidation,B,12000,10.99,0,0.3,N,2
1kyLwKow-mqqO,25,45600,Rent,3,Medical,D,12250,14.84,1,0.27,N,3
1TwNcjeZ-s2pv,25,50000,Rent,4,Debtconsolidation,C,8000,13.85,0,0.16,N,3
0woHpOII-B7tL,31,80000,Mortgage,5,Venture,A,6000,7.4,0,0.07,N,9
3B2XUi2e-87qR,44,24000,Own,5,Education,D,5000,14.74,0,0.21,Y,15
2jro1gON-0xdr,25,34000,Mortgage,2,Homeimprovement,C,5800,13.48,1,0.17,Y,3
1xILu6aF-YRGr,22,75000,Rent,2,Venture,B,5000,10.99,0,0.07,N,2
2L5nUmdc-8H1a,44,35000,Rent,4,Debtconsolidation,B,10825,10.65,1,0.31,N,12
1ZmQ8qlQ-YhW7,23,114000,Mortgage,1,Education,B,17325,11.99,0,0.15,N,2
1A3i6GNO-3KwP,27,41000,Rent,3,Debtconsolidation,C,7000,12.73,0,0.17,Y,5
0FIMaAm6-xFsK,28,50000,Rent,2,Education,D,2000,16.89,1,0.04,N,5
1J1yrp7O-99YF,31,10000,Rent,15,Debtconsolidation,A,2650,7.4,1,0.27,N,9
2WMeopTK-Q14C,28,75000,Other,4,Venture,D,7200,15.05,0,0.1,Y,6
2xuBJInu-7RXw,29,92000,Mortgage,8,Homeimprovement,,7000,9.99,0,NULL,N,3
0iO9dMMX-2Wf7,22,40000,Rent,6,Education,B,14000,NULL,1,0.35,N,4
3hyYArly-oJZW,25,180000,Rent,2,Venture,B,3000,11.12,0,0.02,N,2
0KBwBe2p-9PIO,22,30000,Rent,4,Personal,C,4800,NULL,1,0.16,N,3
0RvA5BaC-4m2g,24,86376,Mortgage,2,Medical,A,20000,7.29,0,0.23,N,3
2Zl19dJH-hu8Q,24,51000,Mortgage,5,Education,B,8000,10.96,0,0.16,N,3
0YNafDNb-CCc3,23,75000,Rent,3,Venture,A,2000,5.79,0,0.03,N,3
02x9biGh-3gTR,23,68000,Rent,1,Venture,E,14400,17.99,1,0.21,N,2
1LN0ZYwA-qIL1,33,124000,Own,10,Personal,D,23500,14.96,0,0.19,Y,6
21ilHdzB-iIcT,25,54000,Rent,5,Personal,B,5000,12.21,0,0.09,N,4
0bdO8Dve-7WyH,NULL,32500,,6,Medical,C,10000,NULL,0,0.06,N,5
3M0BiiTH-5tzA,25,46116,Mortgage,9,Debtconsolidation,C,10000,11.03,0,0.22,N,3
1jgsPcmz-AtYM,43,60000,Mortgage,27,Homeimprovement,B,10000,9.88,0,0.17,N,16
0QRFMn2h-q1pB,26,80004,Mortgage,7,Debtconsolidation,C,7500,15.23,1,0.09,Y,2
1RJrO77W-xRwl,23,16000,Rent,6,Debtconsolidation,C,2250,13.49,0,0.14,N,4
08rX5Qdc-ufb0,23,45312,Rent,3,Education,A,13500,7.88,0,0.3,N,3
2NlqqIEW-QrQ1,34,103000,Mortgage,5,Venture,A,3525,5.42,0,0.03,N,8
1XxTfz1k-33E8,34,80000,Mortgage,5,Personal,A,12000,7.49,0,0.15,N,9
1DL4zwri-pb2T,27,NULL,Mortgage,3,Venture,B,20000,10.62,0,0.21,N,4
0E5QkNLY-0nSw,37,60000,Rent,0,Venture,C,9700,13.61,0,0.16,Y,11
1yjr3wLG-y3U3,24,NULL,Mortgage,5,Medical,D,NULL,17.27,1,0.01,N,2
1TTRHazz-hBRj,22,38400,Mortgage,NULL,Personal,A,1000,5.79,0,0.03,N,2
1h0EDPrQ-0p2n,27,48100,Mortgage,1,Venture,B,20000,11.89,0,0.42,N,10
1N8BlWIH-XdiI,29,50400,Rent,6,Debtconsolidation,A,7000,6.17,0,0.14,N,8
0AR1pUY8-WyvR,28,33000,Rent,3,Debtconsolidation,A,13000,7.9,1,0.39,N,6
03htSZqN-Wf9Y,23,37344,Mortgage,0,Education,C,3200,12.68,0,0.09,N,4
2ebYikdX-Na9z,30,45000,Rent,0,Medical,B,8500,11.89,0,0.19,N,7
1I6g9Yem-zX0l,33,55000,Rent,5,Personal,A,3600,6.99,0,0.07,N,6
2JFENAHm-bN7v,32,30000,Rent,7,Education,B,3000,12.42,0,0.1,N,8
1UK65u9c-JzWc,28,86000,Mortgage,12,Education,B,15000,10.62,0,0.17,N,10
2nkCctPB-7lwb,27,142000,Rent,2,Medical,C,5000,13.16,0,0.04,Y,9
37M5vnQA-vN3X,40,14400,Rent,0,Medical,B,1000,9.25,0,0.07,N,11
3a4vY53z-Awm5,27,70392,Mortgage,9,Venture,B,1500,NULL,0,0.02,N,9
1IeZPsfr-JF34,27,50000,Rent,0,Education,A,8000,7.9,0,0.16,N,8
1MOsHXyM-4Kzh,26,101000,Mortgage,10,Venture,F,25000,17.46,1,0.25,N,4
2K9hiwdm-KRlZ,27,42000,Mortgage,2,Venture,C,20000,12.84,0,0.48,Y,7
0cxobii4-bqEk,28,NULL,Own,2,,A,12000,14.11,1,0.16,Y,2
06Nv331q-J1jv,51,667680,Mortgage,19,Personal,C,10000,13.98,0,0.01,Y,22
1fqfZF08-zEhM,24,71151,Rent,6,Venture,A,12000,6.62,0,0.17,N,4
2e6Hggkf-ygun,27,120000,Mortgage,3,Personal,B,14000,11.99,0,0.12,N,7
22LMbN7Q-mwHw,30,100000,Mortgage,11,Education,A,12800,6.92,0,0.13,N,8
2TUqxzpr-YG2y,32,44000,Mortgage,8,Medical,A,3600,6.99,0,0.08,N,8
1ncN23wi-XU46,33,190000,Mortgage,10,Homeimprovement,D,20000,14.11,0,0.11,N,10
0URNz6Es-rClS,28,72500,Rent,1,Debtconsolidation,A,12000,7.49,0,0.17,N,6
0OmKPzk9-Qi6L,24,32000,Rent,1,Medical,A,5000,NULL,0,0.16,N,3
0zTaE1t6-Jbkg,29,60000,Rent,11,Education,C,10000,11.97,0,0.17,N,5
0AMtXPyt-J5Kj,32,42000,Rent,4,Medical,A,3000,7.49,0,0.07,N,10
1RARUSIg-zXJy,27,82000,Mortgage,11,Venture,A,4000,7.9,0,0.05,N,10
38mZuJnx-h9xx,26,62500,Rent,7,Medical,C,12000,12.23,0,0.19,Y,4
0CCXRgj8-nLTO,24,81000,Mortgage,0,Debtconsolidation,B,15000,12.18,0,0.19,N,4
1NPt8W4z-0gs8,23,21000,Rent,6,Education,A,7500,6.91,1,0.36,N,2
2qGyeyKT-w2Jl,37,43000,Rent,0,Medical,B,8000,11.49,0,0.19,N,13
0ed25Xr0-1HoY,29,26400,Mortgage,7,Medical,A,4800,7.66,0,0.18,N,9
11AQ6WU8-zX72,24,73000,Rent,6,Debtconsolidation,D,12500,6,1,0.17,N,2
30TmnflC-anW0,26,145000,Mortgage,9,Debtconsolidation,B,14000,10.59,0,0.1,N,2
0cs93Rjn-Fgdr,25,50000,Mortgage,9,Debtconsolidation,A,18000,7.88,0,0.36,N,4
2hhXZszT-lXsk,27,38000,Mortgage,3,Venture,B,4500,9.99,0,0.12,N,7
3iEYC8WP-eM4E,29,30108,Mortgage,NULL,Education,A,1400,8.9,1,0.05,N,9
1MrJNLzb-f0L4,22,24240,Rent,3,Venture,B,3500,9.99,0,0.14,N,3
33MnoQta-BqmP,26,34988,Rent,9,Homeimprovement,C,15000,13.98,1,0.43,N,2
21MwcQBw-zHOx,27,170496,Mortgage,3,Debtconsolidation,B,15000,11.83,1,0.09,N,10
20xcEoEZ-IZCf,22,72000,Mortgage,6,Personal,B,5000,12.69,0,0.07,N,3
0yA7h5dn-n5Fx,28,73000,Mortgage,9,Debtconsolidation,A,15600,6.03,0,0.21,N,9
0mOs9gAp-ok0A,26,92700,Mortgage,6,Education,B,1500,9.63,0,0.02,N,2
1Xha4pgQ-rjFl,29,65000,Mortgage,2,Venture,A,10000,NULL,0,0.15,N,5
2p6lMMcU-8LlM,30,155000,Rent,9,Medical,A,6000,7.14,0,0.04,N,8
1nHTLcST-GeQE,33,74520,Rent,4,Homeimprovement,D,10000,16.89,0,0.13,N,10
1MTcpSTH-0kYh,24,19200,,2,,C,18000,15.23,1,0.38,Y,2
1yr7jDZ7-ZlUb,23,95000,Mortgage,4,Medical,A,4400,7.9,0,0.05,N,3
1sbfl8qR-zGDy,22,57600,Own,6,Venture,A,6500,7.49,0,0.11,N,3
12kEmaJF-k2fU,21,34800,Rent,3,Medical,B,2000,11.71,0,0.06,N,3
0UpOndqu-drQi,25,45000,Own,9,Medical,A,3000,6.17,0,0.07,N,4
20qggE2m-CFBQ,24,90000,Mortgage,0,Debtconsolidation,C,8000,12.99,0,0.09,N,2
20tWiDi9-0L3P,27,84000,Rent,0,Venture,D,2500,14.59,1,0.03,N,9
2rBqAQ4G-OaJU,25,30000,Mortgage,9,Venture,A,5000,6.03,0,0.17,N,3
2udi7OBU-BbbM,22,48000,Mortgage,0,Personal,B,2800,12.53,0,0.06,N,2
2Wg7SmH3-Xlyp,25,40000,Rent,2,Medical,B,3000,10.25,0,0.07,N,2
1bIKBF32-tufb,23,42000,Own,7,Education,B,4400,11.89,0,0.1,N,4
0HN03dqk-bfjw,25,23000,Rent,0,Education,C,2100,13.48,0,0.09,Y,4
32l2T460-mTvw,30,119700,Mortgage,2,Homeimprovement,A,9500,8.94,0,0.08,N,10
2gRdpnIu-9jNf,25,45600,Rent,6,Debtconsolidation,C,5000,NULL,0,0.11,N,2
0cPuEgY6-ZCFg,35,65004,Rent,2,Debtconsolidation,A,6000,7.29,0,0.09,N,10
0tT43KAN-P6CD,27,52000,Rent,0,Medical,C,22950,13.49,1,0.44,N,10
1asxaf42-6yQB,24,52000,Mortgage,8,Homeimprovement,B,15000,10,0,0.29,N,2
206iyhrA-sKS4,25,47412,Mortgage,0,Education,A,6500,8.59,0,0.14,N,2
0qywOpR7-riu2,29,60000,Rent,6,Medical,A,4200,8.63,0,0.07,N,10
0NUo1qwp-bP8D,23,32000,Rent,0,Medical,C,8500,13.16,0,0.27,Y,4
2866yGKu-fGol,31,54050,Rent,8,Personal,B,12000,10.99,0,0.22,N,9
2TICsx6X-eH9t,21,49000,Rent,2,Personal,D,16950,18.25,1,0.35,Y,4
1ygokO6Y-YSo1,23,85000,Mortgage,7,Education,A,4000,5.79,0,0.05,N,3
0rhZxxlW-axcC,26,44000,Rent,5,Medical,C,4600,13.99,1,0.1,N,3
0n07Qf8N-rYpu,35,44000,Rent,3,Personal,C,16000,13.99,1,0.36,Y,8
1W4cm6By-3ASN,25,30000,Own,9,Debtconsolidation,E,1200,16.69,1,0.04,Y,3
2FmWCI74-Qtth,27,120000,Rent,4,Debtconsolidation,A,12000,NULL,0,0.1,N,5
3kvpFmoz-xvfQ,37,39000,Rent,5,Personal,B,15000,10.96,1,0.38,N,12
36sh9f6Z-nWGg,29,81000,Mortgage,5,Debtconsolidation,E,12000,NULL,1,0.15,N,6
0MC0E0qu-YHYt,35,130000,Mortgage,15,Homeimprovement,C,7000,13.98,0,0.05,Y,5
1GZnqX8N-HnvP,34,135000,Mortgage,18,Venture,A,8000,9.32,0,0.06,N,5
210DQwr5-jg58,31,50000,Rent,1,Venture,B,10000,10.71,0,0.2,N,6
1sPDO4Wp-iuA5,33,42996,Rent,2,Venture,A,8200,7.88,0,0.19,N,9
2ZLQGcsN-MnpC,22,52000,Mortgage,0,Debtconsolidation,A,3000,7.05,0,0.06,N,2
04039kHJ-uCxY,24,30000,Rent,5,Education,A,4800,6.99,0,0.16,N,4
0292naTF-ucWE,23,33990,Mortgage,2,Debtconsolidation,C,1000,10.59,1,0.03,N,2
0zwkz2vB-BPwH,25,80000,Mortgage,2,Education,B,22000,11.48,0,0.28,N,3
0UMpQJCo-agNq,38,50000,Rent,5,Personal,C,10000,NULL,0,0.2,N,13
2XQQ4TrS-yhIx,22,37000,Rent,3,Personal,B,15000,10.25,1,0.41,N,4
1OO3uPAf-a5JM,26,63096,Mortgage,1,Homeimprovement,A,4200,5.99,0,0.07,N,3
1nLG5Cqu-QK0K,30,73000,Rent,4,Venture,C,12000,14.26,1,0.16,Y,5
0CL0t22y-TO9g,24,31200,Rent,4,Personal,B,2725,10.74,0,0.09,N,2
2oEgP8s4-OEde,22,36000,Mortgage,3,Debtconsolidation,A,5250,NULL,0,0.15,N,2
0BlibH5r-epYQ,23,21000,Rent,3,Personal,B,10000,12.21,1,0.48,N,4
3GeZBGTS-JR5o,24,25000,Rent,3,Venture,A,5000,7.14,0,0.2,N,2
1o5mjlvS-XW2e,37,114000,Rent,10,Venture,F,25000,NULL,0,0.22,N,13
34oqAOQB-bbOb,30,210000,Mortgage,2,Homeimprovement,C,24250,12.87,0,0.12,Y,6
0bFM9kyp-Sgjd,22,25200,Mortgage,2,Personal,A,7000,6.03,0,0.28,N,4
0jscRezL-FCj4,22,48000,Mortgage,6,Education,A,9925,9.63,0,0.21,N,2
2LT1fn3z-FQkX,23,48600,Mortgage,7,Personal,B,19000,11.36,0,0.39,N,4
11Y5DDZd-j7fy,23,62000,Rent,7,Venture,D,5500,17.49,0,0.09,N,3
0ixc1vFl-C5Tu,23,55000,Rent,4,Education,B,8000,9.25,0,0.15,N,2
3Da2bv6g-sa1B,22,56902,Mortgage,6,Debtconsolidation,A,12000,7.14,0,0.21,N,4
1rhMb8Nh-JzzK,23,38896,Rent,2,Personal,C,7200,13.48,0,0.19,Y,3
0NEe4UH5-Xkc2,26,28000,Rent,8,Education,D,6625,12.92,0,0.24,N,2
2Cu7EvyD-I0Pu,24,14880,Rent,2,Education,B,6000,10,1,0.4,N,3
2Fn9R28P-tuf1,27,54000,Rent,0,Debtconsolidation,D,5000,13.17,1,0.09,N,8
3iI8raQY-dLa6,23,50000,Rent,0,Education,A,4900,8.49,0,0.1,N,3
2GUFa9Kw-oCGZ,24,32000,Mortgage,5,Homeimprovement,A,6000,5.42,0,0.19,N,4
0DvnUceW-OkzA,22,48000,Rent,5,Medical,B,15000,11.89,1,0.31,N,4
0Xexh5q0-J6FN,23,42000,Rent,7,Debtconsolidation,D,10000,NULL,1,0.24,Y,3
1NkJLsWT-BQSK,24,34300,Rent,4,Medical,B,18500,10.71,1,0.54,N,2
3cb3FgMO-2uWI,24,79000,Rent,0,Medical,B,8000,11.49,0,0.1,N,2
1NKTqOca-ngj5,38,36400,Rent,1,Personal,C,6000,12.87,0,0.16,Y,17
2v7RtmAs-5JQl,24,66766,Mortgage,NULL,Homeimprovement,A,9000,6.99,0,0.13,N,2
3k9MRRUy-4zjR,22,65000,Mortgage,6,Debtconsolidation,A,8000,6.99,0,0.12,N,3
1vm72njS-oUHj,23,66300,Mortgage,2,Medical,D,15000,14.83,1,0.19,N,4
3EQqPnt5-82dD,27,59147,Mortgage,11,Medical,B,7000,11.26,0,0.12,N,5
0YxewUDY-ulIk,26,21000,Own,4,Education,C,8000,13.79,0,0.38,Y,3
1femkUJT-4zrK,24,60000,Mortgage,9,Homeimprovement,B,1500,12.42,0,0.03,N,2
0WzhQGa8-zkhM,28,44000,Rent,7,Debtconsolidation,A,5000,5.42,0,0.11,N,7
1ZYf8uwp-NYc3,31,138000,Mortgage,0,Personal,A,35000,7.49,1,0.25,N,5
